	Número de lecturas	Promedio de largo de lecturas	Promedio de calidad de lecturas	N50 de lecturas	Número de lecturas (Fwd/Rev)
F15	45.733	9.074,00	10.3	14.298	1.821.192
F19	178.560	6.751,00	12.4	7.486	1,497,448
F24	197.526	6.571,00	12.7	7.508	1,494,135
F28	141.525	4.562,30	12.0	5.198	1,437,097
F29	113.586	5.011,00	10.2	6.015	1,422,106
F32	88.927	3.878,00	10.2	4.511	1.612.242
F34	22.785	12.298,00	10.4	15.320	1.409.196
F35	185.235	5.395,00	12.4	6.470	1,411,007
F41	222.921	6.066,00	12.4	7.365	1,458,385
F43	208.720	3.886,00	11.2	4.440	1,469,955
F47	13.708	5.355,00	9.0	7.099	1,399,320
F53	63.071	4.896,00	10.2	5.877	1,436,953
F54	149.083	4.544,00	10.2	5.641	1,470,372
F87	185.327	4.588,00	12.5	6.458	1,442,849
F88	126.724	5.875,00	12.5	7.441	1,437,070
